iter	Passed	Remaining
434	1431	1859
435	1433	1854
436	1435	1849
437	1436	1843
438	1438	1838
439	1439	1832
440	1441	1827
441	1443	1821
442	1446	1818
443	1448	1813
444	1450	1808
445	1451	1803
446	1453	1798
447	1455	1793
448	1457	1789
449	1459	1783
450	1461	1778
451	1462	1773
452	1465	1769
453	1467	1764
454	1468	1759
455	1470	1754
456	1479	1758
457	1482	1754
458	1484	1749
459	1486	1745
460	1488	1740
461	1490	1735
462	1492	1731
463	1494	1726
464	1495	1721
465	1497	1716
466	1499	1711
467	1502	1708
468	1506	1705
469	1509	1701
470	1511	1697
471	1512	1692
472	1514	1687
473	1516	1682
474	1517	1677
475	1520	1673
476	1521	1668
477	1523	1663
478	1524	1658
479	1526	1653
480	1527	1648
481	1529	1643
482	1531	1638
483	1532	1634
484	1535	1630
485	1537	1626
486	1539	1621
487	1542	1617
488	1547	1617
489	1549	1612
490	1551	1608
491	1554	1604
492	1555	1600
493	1558	1596
494	1562	1593
495	1563	1588
496	1565	1584
497	1567	1579
498	1586	1593
499	1588	1588
500	1590	1584
501	1606	1593
502	1608	1589
503	1611	1585
504	1613	1581
505	1615	1577
506	1621	1577
507	1628	1577
508	1630	1573
509	1632	1568
510	1634	1564
511	1636	1559
512	1639	1556
513	1641	1552
514	1644	1548
515	1646	1544
516	1659	1550
517	1661	1545
518	1662	1540
519	1664	1536
520	1668	1534
521	1670	1529
522	1672	1525
523	1676	1523
524	1678	1519
525	1680	1514
526	1682	1509
527	1683	1505
528	1686	1501
529	1687	1496
530	1690	1493
531	1692	1488
532	1694	1484
533	1696	1480
534	1701	1479
535	1703	1474
536	1705	1470
537	1706	1465
538	1708	1461
539	1710	1456
540	1712	1452
541	1714	1448
542	1717	1445
543	1719	1440
544	1726	1441
545	1728	1437
546	1730	1432
547	1732	1428
548	1738	1428
549	1741	1424
550	1742	1420
551	1744	1415
552	1748	1413
553	1750	1409
554	1752	1405
555	1754	1401
556	1756	1396
557	1759	1393
558	1761	1389
559	1772	1392
560	1779	1392
561	1780	1387
562	1783	1384
563	1787	1381
564	1790	1378
565	1792	1374
566	1794	1370
567	1796	1366
568	1797	1361
569	1799	1357
570	1801	1353
571	1804	1349
572	1806	1345
573	1809	1343
574	1812	1339
575	1814	1335
576	1815	1331
577	1817	1327
578	1819	1323
579	1821	1319
580	1823	1315
581	1826	1312
582	1829	1308
583	1833	1306
584	1836	1302
585	1838	1298
586	1840	1295
587	1842	1291
588	1844	1287
589	1847	1283
590	1850	1280
591	1852	1276
592	1854	1272
593	1856	1268
594	1857	1264
595	1859	1260
596	1863	1258
597	1866	1254
598	1868	1250
599	1871	1247
600	1874	1244
601	1875	1240
602	1878	1236
603	1880	1232
604	1883	1229
605	1888	1227
606	1890	1223
607	1892	1219
608	1894	1216
609	1898	1213
610	1900	1210
611	1902	1205
612	1903	1201
613	1906	1198
614	1907	1194
615	1909	1190
616	1912	1187
617	1917	1185
618	1920	1182
619	1922	1178
620	1924	1174
621	1957	1189
622	1959	1185
623	1961	1181
624	1962	1177
625	1964	1173
626	1965	1169
627	1971	1167
628	1973	1164
629	1975	1160
630	1977	1156
631	1979	1152
632	1984	1150
633	1986	1146
634	1988	1142
635	1990	1139
636	1998	1139
637	2000	1135
638	2002	1131
639	2003	1127
640	2005	1123
641	2007	1119
642	2008	1115
643	2010	1111
644	2012	1107
645	2014	1103
646	2016	1100
647	2020	1097
648	2023	1094
649	2026	1090
650	2028	1087
651	2030	1083
652	2034	1081
653	2036	1077
654	2039	1074
655	2041	1070
656	2043	1066
657	2047	1063
658	2048	1060
659	2052	1057
660	2054	1053
661	2056	1050
662	2058	1046
663	2060	1042
664	2063	1039
665	2075	1041
666	2077	1037
667	2079	1033
668	2081	1029
669	2083	1026
670	2085	1022
671	2088	1019
672	2090	1015
673	2092	1012
674	2094	1008
675	2096	1004
676	2098	1001
677	2105	1000
678	2107	996
679	2110	993
680	2111	989
681	2113	985
682	2115	981
683	2117	978
684	2119	974
685	2120	970
686	2122	967
687	2124	963
688	2126	959
689	2137	960
690	2139	956
691	2141	953
692	2146	950
693	2153	949
694	2159	947
695	2163	944
696	2165	941
697	2167	937
698	2169	934
699	2170	930
700	2171	926
701	2173	922
702	2175	918
703	2176	915
704	2183	913
705	2184	909
706	2186	906
707	2188	902
708	2190	899
709	2192	895
710	2194	891
711	2195	888
712	2196	884
713	2198	880
714	2200	876
715	2203	874
716	2205	870
717	2207	866
718	2211	864
719	2213	860
720	2215	857
721	2217	853
722	2219	850
723	2221	846
724	2222	843
725	2227	840
726	2228	836
727	2231	833
728	2232	830
729	2234	826
730	2236	823
731	2239	819
732	2241	816
733	2243	812
734	2244	809
735	2247	806
736	2249	802
737	2251	799
738	2252	795
739	2259	794
740	2261	790
741	2264	787
742	2265	783
743	2267	780
744	2269	776
745	2275	774
746	2276	771
747	2278	767
748	2280	764
749	2282	760
750	2284	757
